,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2010-09-17,4.203999996185303,4.263999938964844,3.9600000381469727,4.046000003814697,4.046000003814697,5992500,TSLA,-2.865977,4.085999965667725,-6.911977052688599,0.0
2010-09-21,4.177999973297119,4.309999942779541,4.133999824523926,4.1539998054504395,4.1539998054504395,3980000,TSLA,-3.1764557,4.047999858856201,0.0,7.330455541610718
2010-09-23,3.9779999256134033,4.0279998779296875,3.9000000953674316,3.9119999408721924,3.9119999408721924,3340500,TSLA,-3.5180883,4.150000095367432,-7.43008828163147,0.0
2010-10-08,4.085999965667725,4.1579999923706055,4.078000068664551,4.085999965667725,4.085999965667725,1339000,TSLA,-3.8831291,4.368000030517578,-7.9691290855407715,0.0
2010-10-12,4.039999961853027,4.056000232696533,4.00600004196167,4.047999858856201,4.047999858856201,1220000,TSLA,-3.7712526,4.25,-7.8192524909973145,0.0
2010-10-14,4.199999809265137,4.205999851226807,4.079999923706055,4.150000095367432,4.150000095367432,1474000,TSLA,-3.5591173,4.980000019073486,-7.709117412567139,0.0
2010-10-19,4.039999961853027,4.081999778747559,4.0,4.010000228881836,4.010000228881836,1226000,TSLA,-3.34986,4.926000118255615,-7.359860181808472,0.0
2010-10-26,4.159999847412109,4.374000072479248,4.1020002365112305,4.271999835968018,4.271999835968018,3304500,TSLA,-3.0543568,5.934000015258789,-7.326356649398804,0.0
2010-11-11,5.71999979019165,5.820000171661377,5.466000080108643,5.607999801635742,5.607999801635742,9726500,TSLA,-1.7720675,6.297999858856201,-7.380067348480225,0.0
2010-11-19,6.0320000648498535,6.27400016784668,5.940000057220459,6.197999954223633,6.197999954223633,5752500,TSLA,-1.8220439,6.110000133514404,0.0,8.020043849945068
2010-12-03,6.4019999504089355,6.449999809265137,6.173999786376953,6.297999858856201,6.297999858856201,5800500,TSLA,-0.54785454,5.110000133514404,0.0,6.84585440158844
2010-12-08,6.495999813079834,6.498000144958496,6.303999900817871,6.473999977111816,6.473999977111816,3300000,TSLA,-1.1455166,5.300000190734863,0.0,7.619516611099243
2010-12-14,6.058000087738037,6.078000068664551,5.552000045776367,5.705999851226807,5.705999851226807,8828500,TSLA,-1.1754004,5.366000175476074,0.0,6.881400227546692
2010-12-20,6.328000068664551,6.438000202178955,6.251999855041504,6.340000152587891,6.340000152587891,2617000,TSLA,-1.1143872,5.392000198364258,0.0,7.454387307167053
2010-12-27,5.604000091552734,5.716000080108643,5.01200008392334,5.110000133514404,5.110000133514404,46509500,TSLA,-0.17112117,5.127999782562256,-5.281121298670769,0.0
2010-12-30,5.539999961853027,5.579999923706055,5.276000022888184,5.300000190734863,5.300000190734863,10205500,TSLA,-1.885973,4.607999801635742,0.0,7.185973167419434
2011-01-04,5.331999778747559,5.389999866485596,5.203999996185303,5.334000110626221,5.334000110626221,5937000,TSLA,-3.6007135,4.949999809265137,0.0,8.93471360206604
2011-01-11,5.7179999351501465,5.742000102996826,5.383999824523926,5.392000198364258,5.392000198364258,8551000,TSLA,-3.2017715,4.788000106811523,0.0,8.593771696090698
2011-01-12,5.4019999504089355,5.480000019073486,5.303999900817871,5.392000198364258,5.392000198364258,4822000,TSLA,-3.1958482,4.72599983215332,0.0,8.587848424911499
2011-02-11,4.650000095367432,4.75,4.5879998207092285,4.650000095367432,4.650000095367432,3172500,TSLA,-3.1345694,4.98799991607666,-7.784569501876831,0.0
2011-02-14,4.728000164031982,4.828000068664551,4.610000133514404,4.616000175476074,4.616000175476074,6415500,TSLA,-3.2661645,4.932000160217285,-7.882164716720581,0.0
2011-02-24,4.355999946594238,4.515999794006348,4.300000190734863,4.50600004196167,4.50600004196167,5276500,TSLA,-4.010266,4.561999797821045,-8.516265869140625,0.0
2011-03-01,4.809999942779541,4.863999843597412,4.739999771118164,4.788000106811523,4.788000106811523,5532000,TSLA,-4.1297326,4.438000202178955,0.0,8.91773271560669
2011-03-31,5.309999942779541,5.742000102996826,5.300000190734863,5.550000190734863,5.550000190734863,57589000,TSLA,-1.7939581,5.3480000495910645,0.0,7.343958258628845
2011-04-06,5.3979997634887695,5.4019999504089355,5.159999847412109,5.297999858856201,5.297999858856201,6441500,TSLA,-3.1283445,5.5320000648498535,-8.426344394683838,0.0
2011-04-13,5.026000022888184,5.138000011444092,4.961999893188477,4.986000061035156,4.986000061035156,6057500,TSLA,-4.1841817,5.288000106811523,-9.17018175125122,0.0
2011-04-14,4.973999977111816,5.056000232696533,4.840000152587891,5.0279998779296875,5.0279998779296875,4917000,TSLA,-4.2221,5.423999786376953,-9.250099658966064,0.0
